model,bin,observations,defaults,mean_predicted_probability,observed_default_rate,minimum_predicted_probability,maximum_predicted_probability,observed_rate_ci_lower,observed_rate_ci_upper
MLP Neural Network,11,6541,1819,0.2910048141854619,0.27809203485705547,0.2755502781044607,0.30744281351702557,0.267366209313302,0.28907836529641806
MLP Neural Network,12,6540,2030,0.32665007692777237,0.3103975535168196,0.307451311499028,0.3477011164297133,0.2992984988500275,0.3217192226058218
MLP Neural Network,13,6541,2266,0.37379841126400803,0.3464302094480966,0.34771852378119356,0.4027855241343469,0.33499182750627815,0.3580488719049956
MLP Neural Network,14,6540,2625,0.4419439640480188,0.4013761467889908,0.4027869191963223,0.48696282278162845,0.3895572940394493,0.41331079494363354
MLP Neural Network,15,6541,3315,0.5598815471961157,0.5068032410946338,0.48697144879101384,0.7689037401988251,0.49468667716008213,0.51891181848571
Modified FT-Transformer-style,1,6541,203,0.032608574045859075,0.031035009937318454,0.02435356961399048,0.044460038823104675,0.027099941513760772,0.03552061144202047
Modified FT-Transformer-style,2,6540,393,0.06037025276004726,0.06009174311926606,0.04446532758554469,0.07698959620690386,0.05458596487270065,0.06611402273091127
Modified FT-Transformer-style,3,6541,612,0.09295910717159218,0.09356367527900933,0.07699121412847425,0.10801754087830145,0.0867426914236096,0.10086178780473412
Modified FT-Transformer-style,4,6540,745,0.12098602664611924,0.11391437308868502,0.10801820451665718,0.13339870033914722,0.10643988785372967,0.12184216591725401
Modified FT-Transformer-style,5,6540,843,0.1451010180734886,0.12889908256880733,0.13340073973245098,0.15661397901900842,0.12099508649709281,0.13723879251367047
Modified FT-Transformer-style,6,6541,989,0.1679965923211394,0.15120012230545787,0.15661824008936476,0.1792905681422129,0.142723131110229,0.16008658089257943
Modified FT-Transformer-style,7,6540,1157,0.1908948091497795,0.17691131498470947,0.17929209253000225,0.20287532815427076,0.16785331935584105,0.18634865277013454
Modified FT-Transformer-style,8,6541,1311,0.21498846397155888,0.2004280691025837,0.20287823904391875,0.22752747883788124,0.19090359111099012,0.21030422421642744
Modified FT-Transformer-style,9,6540,1539,0.2402882084857771,0.2353211009174312,0.2275298352958018,0.25354191672136056,0.22519728271564698,0.24575568167151046
Modified FT-Transformer-style,10,6540,1658,0.2680332592134813,0.25351681957186545,0.25354604526043806,0.2827392076807423,0.24312022303134131,0.26420281486126285
Modified FT-Transformer-style,11,6541,1793,0.29866474390508807,0.2741171074759211,0.2827413016881284,0.3152533857217773,0.2634418125915229,0.2850575735509928
Modified FT-Transformer-style,12,6540,1973,0.333911334391541,0.30168195718654434,0.3152557659827551,0.3540946090341304,0.2906768447373779,0.3129199171402322
Modified FT-Transformer-style,13,6541,2291,0.37708363618694296,0.3502522550068797,0.35411060746816553,0.4016720126151381,0.33878217233209557,0.3618981313745671
Modified FT-Transformer-style,14,6540,2636,0.43244245588904606,0.40305810397553515,0.40167656157801485,0.4690181015502849,0.39123014195449846,0.4149998865963147
Modified FT-Transformer-style,15,6541,3209,0.5393868219156717,0.49059776792539367,0.46901949365857465,0.7243574468641562,0.47849173599818307,0.5027148374351602
